stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021017360032000,Lungsgrinden,59.545720,14.229884,1,,
9021017360034000,Lungsundskorset,59.555822,14.237531,1,,
9021017360035000,Lungälven,59.573535,14.138699,1,,
9021017360037000,Norra Dalbäcken,59.472329,14.329394,1,,
9021017360038000,"Storfors, Vårdcentralen",59.531750,14.276739,1,,
9021017360039000,Norra Hedås,59.512823,14.044729,1,,
9021017360041000,Norra Sjötorp,59.488975,14.255091,1,,
9021017360043000,Näsvägen,59.443231,14.236172,1,,
9021017360044000,Posthagarna,59.577676,14.158707,1,,
9021017360045000,Råglanda,59.506271,14.310938,1,,
9021017360047000,Släbråtsängen,59.503441,14.259089,1,,
9021017360049000,Röjseln,59.513993,14.267651,1,,
9021017360050000,Släbråten,59.495130,14.252442,1,,
9021017360053000,Stockviken,59.461591,14.252642,1,,
9021017360056000,Kyrksten,59.439691,14.404848,1,,
9021017360062000,"Storfors, Idrottsplatsen",59.529923,14.295680,1,,
9021017360063000,Storfors Resecentrum,59.533070,14.271430,1,,
9021017360065000,"Storfors, Kroppavägen",59.543629,14.277651,1,,
9021017360081000,Sörmyren,59.551572,14.085100,1,,
9021017360082000,Vilångsbron,59.358983,14.247592,1,,
9021017360083000,Ålviksboden,59.451470,14.241909,1,,
9021017360084000,Ämtvägen,59.567841,14.114775,1,,
9021017360085000,Östra vägen,59.520065,14.301881,1,,
9021017360086000,Laggartorp,59.563720,14.101606,1,,
9021017360087000,Hedbergsgården,59.580570,14.169009,1,,
9021017360088000,Bjurbäckens slussar,59.585294,14.170585,1,,
9021017360090000,Ängtorp,59.589686,14.191707,1,,
9021017360095000,Sjötorp,59.479544,14.258488,1,,
9021017360105000,Rötterna,59.429018,14.381713,1,,
9021017361000000,Skoghallsleden,59.335388,13.488601,1,,
9021017361004000,"Skoghall, Edsviksvägen",59.323503,13.457784,1,,
9021017361008000,"Skoghall, Parkvägen",59.323801,13.481378,1,,
9021017361009000,Gunnarskärsvägen,59.321628,13.492525,1,,
9021017361010000,Möruddsvägen,59.320480,13.500176,1,,
9021017361011000,Segelvägen,59.323607,13.504356,1,,
9021017361012000,Mörtvägen,59.328769,13.501723,1,,
9021017361013000,Mörmorondellen,59.330777,13.478318,1,,
9021017361014000,"Hammar, Lövnäsleden",59.335659,13.509499,1,,
9021017361015000,Gårdsvägen,59.335687,13.493836,1,,
9021017361016000,"Hammarlunden, Lövnäsleden",59.332208,13.515444,1,,
9021017361017000,Hambovägen,59.341250,13.493564,1,,
9021017361018000,"Hallersrudsvägen, Lövnäsleden",59.328756,13.527538,1,,
9021017361019000,"Jonsbol, Nolgårdsvägen",59.343943,13.499551,1,,
9021017361020000,Bärstad,59.334637,13.545511,1,,
9021017361027000,Fiskevik,59.280679,13.527138,1,,
9021017361031000,Götavägen,59.331394,13.496800,1,,
9021017361040000,Hovlanda,59.315959,13.530099,1,,
9021017361041000,Hälltorp,59.338322,13.491495,1,,
9021017361043000,Klöverud,59.331011,13.500534,1,,
9021017361045000,Lövnäs,59.332895,13.526997,1,,
